Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median
ProtoBufSerialization_SOM,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,7.329 μs,0.1449 μs,0.3765 μs,7.243 μs
TransmissionTime_UsingWCF_SOM,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"1,924.476 μs",37.9621 μs,86.4590 μs,"1,890.784 μs"
ProtoBufDeserialization_SOM,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8.985 μs,0.0653 μs,0.0545 μs,8.989 μs
ProtoBufSerialization_BOM,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,87.445 μs,1.7230 μs,3.7821 μs,86.591 μs
TransmissionTime_UsingWCF_BOM,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"2,175.961 μs",17.9610 μs,14.0228 μs,"2,177.434 μs"
ProtoBufDeserialization_BOM,DefaultJob,False,Default,Default,Default,Default,Default,Default,11111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,97.104 μs,1.8496 μs,3.8198 μs,95.597 μs
