// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 12 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\LayerOne\Project - MessagePack\PonePOC - WCF using MessagePack_v5\WCF.Client\WCF.Client\bin\Release\3e0b69a9-2f6e-4aaf-8f70-ac707ab6481d.bat
// ***** Done, took 00:00:03 (3.96 sec)   *****
// Found 12 benchmarks:
//   BenchMarkSmallMessages.MessagePackSerialization_SFM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg1: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_SFM: DefaultJob
//   BenchMarkSmallMessages.MessagePackSerialization_SOM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg2: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_SOM: DefaultJob
//   BenchMarkSmallMessages.MessagePackSerialization_BFM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg3: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_BFM: DefaultJob
//   BenchMarkSmallMessages.MessagePackSerialization_BOM: DefaultJob
//   BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg4: DefaultJob
//   BenchMarkSmallMessages.MessagePackDeserialization_BOM: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchMarkSmallMessages.MessagePackSerialization_SFM: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\LayerOne\Project - MessagePack\PonePOC - WCF using MessagePack_v5\WCF.Client\WCF.Client\bin\Release\3e0b69a9-2f6e-4aaf-8f70-ac707ab6481d.exe --anonymousPipes 1720 1668 --benchmarkName WCF.Client.BenchMarkIT.BenchMarkSmallMessages.MessagePackSerialization_SFM --job Default --benchmarkId 0 in 
// BeforeAnythingElse

WorkloadActual  16: 256 op, 1016115600.00 ns, 3.9692 ms/op
WorkloadActual  17: 256 op, 1021637800.00 ns, 3.9908 ms/op
WorkloadActual  18: 256 op, 996587300.00 ns, 3.8929 ms/op
WorkloadActual  19: 256 op, 1001769300.00 ns, 3.9132 ms/op
WorkloadActual  20: 256 op, 1005105000.00 ns, 3.9262 ms/op
WorkloadActual  21: 256 op, 1041220700.00 ns, 4.0673 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 1030954400.00 ns, 4.0272 ms/op
WorkloadResult   2: 256 op, 1010566600.00 ns, 3.9475 ms/op
WorkloadResult   3: 256 op, 1015333200.00 ns, 3.9661 ms/op
WorkloadResult   4: 256 op, 1031649100.00 ns, 4.0299 ms/op
WorkloadResult   5: 256 op, 1029512000.00 ns, 4.0215 ms/op
WorkloadResult   6: 256 op, 1029632000.00 ns, 4.0220 ms/op
WorkloadResult   7: 256 op, 1068689300.00 ns, 4.1746 ms/op
WorkloadResult   8: 256 op, 1056660200.00 ns, 4.1276 ms/op
WorkloadResult   9: 256 op, 1070984400.00 ns, 4.1835 ms/op
WorkloadResult  10: 256 op, 1021069500.00 ns, 3.9886 ms/op
WorkloadResult  11: 256 op, 1003674400.00 ns, 3.9206 ms/op
WorkloadResult  12: 256 op, 1072762200.00 ns, 4.1905 ms/op
WorkloadResult  13: 256 op, 1060036300.00 ns, 4.1408 ms/op
WorkloadResult  14: 256 op, 1029553300.00 ns, 4.0217 ms/op
WorkloadResult  15: 256 op, 1029414100.00 ns, 4.0211 ms/op
WorkloadResult  16: 256 op, 1016114400.00 ns, 3.9692 ms/op
WorkloadResult  17: 256 op, 1021636600.00 ns, 3.9908 ms/op
WorkloadResult  18: 256 op, 996586100.00 ns, 3.8929 ms/op
WorkloadResult  19: 256 op, 1001768100.00 ns, 3.9132 ms/op
WorkloadResult  20: 256 op, 1005103800.00 ns, 3.9262 ms/op
WorkloadResult  21: 256 op, 1041219500.00 ns, 4.0673 ms/op

// AfterAll
// Benchmark Process 4040 has exited with code 0.

Mean = 4.026 ms, StdErr = 0.020 ms (0.49%), N = 21, StdDev = 0.091 ms
Min = 3.893 ms, Q1 = 3.966 ms, Median = 4.022 ms, Q3 = 4.067 ms, Max = 4.190 ms
IQR = 0.101 ms, LowerFence = 3.814 ms, UpperFence = 4.219 ms
ConfidenceInterval = [3.949 ms; 4.102 ms] (CI 99.9%), Margin = 0.077 ms (1.90% of Mean)
Skewness = 0.47, Kurtosis = 1.99, MValue = 2.73

// ** Remained 11 (91.7%) benchmark(s) to run. Estimated finish 2023-04-20 0:50 (0h 9m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: BenchMarkSmallMessages.TransmissionTime_UsingWCF_Msg1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
